,ts,geom_wkt,trace_number,device_id,geometry,prev_geom,prev_ts,distance_m,time_diff_s,speed_m_s,prev_speed,acceleration_m_s2,bearing,prev_bearing,bearing_change_deg,is_stop,stop_group,duration_sec,dist_last_1min_m,hour,minute,period_of_day
24,2009-06-29 07:04:15+00:00,POINT (116.59037 40.073947),2,0,POINT (116.59037 40.073947),POINT (116.590375 40.073914),2009-06-29 07:04:10+00:00,3.6889288607634305,5.0,0.7377857721526861,0.2904008690272503,0.08947698062508716,353.3865667480255,342.9813925844132,10.405174163612287,False,0,0.0,228.2810937935634,7,4,Morning
25,2009-06-29 07:04:20+00:00,POINT (116.590368 40.073956),2,0,POINT (116.590368 40.073956),POINT (116.59037 40.073947),2009-06-29 07:04:15+00:00,1.0137824857616078,5.0,0.20275649715232155,0.7377857721526861,-0.10700585500007291,350.34930524056745,353.3865667480255,3.0372615074580267,True,7,15.0,214.65806594647492,7,4,Morning
26,2009-06-29 07:04:25+00:00,POINT (116.590368 40.073956),2,0,POINT (116.590368 40.073956),POINT (116.590368 40.073956),2009-06-29 07:04:20+00:00,0.0,5.0,0.0,0.20275649715232155,-0.04055129943046431,0.0,350.34930524056745,350.34930524056745,True,7,15.0,192.37154022050947,7,4,Morning
27,2009-06-29 07:04:30+00:00,POINT (116.590367 40.073957),2,0,POINT (116.590367 40.073957),POINT (116.590368 40.073956),2009-06-29 07:04:25+00:00,0.14001920763747006,5.0,0.028003841527494012,0.0,0.005600768305498802,322.57627376680114,0.0,322.57627376680114,True,7,15.0,162.80378930019103,7,4,Morning
28,2009-06-29 07:04:33+00:00,POINT (116.590367 40.073957),2,0,POINT (116.590367 40.073957),POINT (116.590367 40.073957),2009-06-29 07:04:30+00:00,0.0,3.0,0.0,0.028003841527494012,-0.009334613842498004,0.0,322.57627376680114,322.57627376680114,True,7,15.0,162.80378930019103,7,4,Morning
29,2009-06-29 07:04:35+00:00,POINT (116.590367 40.073957),2,0,POINT (116.590367 40.073957),POINT (116.590367 40.073957),2009-06-29 07:04:33+00:00,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,7,15.0,127.70871584194026,7,4,Morning
30,2009-06-29 07:04:40+00:00,POINT (116.590399 40.073989),2,0,POINT (116.590399 40.073989),POINT (116.590367 40.073957),2009-06-29 07:04:35+00:00,4.480614255335782,5.0,0.8961228510671564,0.0,0.17922457021343127,37.42370934863828,0.0,37.42370934863828,False,0,0.0,99.1533168716986,7,4,Morning
31,2009-06-29 07:04:45+00:00,POINT (116.590572 40.074046),2,0,POINT (116.590572 40.074046),POINT (116.590399 40.073989),2009-06-29 07:04:40+00:00,16.057120673762913,5.0,3.2114241347525825,0.8961228510671564,0.46306025673708523,66.70456749760928,37.42370934863828,29.280858148970992,False,0,0.0,81.62508110199653,7,4,Morning
32,2009-06-29 07:04:50+00:00,POINT (116.590906 40.074084),2,0,POINT (116.590906 40.074084),POINT (116.590572 40.074046),2009-06-29 07:04:45+00:00,28.801451319775182,5.0,5.760290263955037,3.2114241347525825,0.5097732258404909,81.5430631642468,66.70456749760928,14.838495666637527,False,0,0.0,82.89038175855676,7,4,Morning
33,2009-06-29 07:04:55+00:00,POINT (116.591239 40.074103),2,0,POINT (116.591239 40.074103),POINT (116.590906 40.074084),2009-06-29 07:04:50+00:00,28.483631908045652,5.0,5.69672638160913,5.760290263955037,-0.012712776469181364,85.73560032977542,81.5430631642468,4.19253716552862,False,0,0.0,91.39675207727512,7,4,Morning
34,2009-06-29 07:05:00+00:00,POINT (116.591372 40.074108),2,0,POINT (116.591372 40.074108),POINT (116.591239 40.074103),2009-06-29 07:04:55+00:00,11.358672013473663,5.0,2.2717344026947326,5.69672638160913,-0.6849983957828795,87.18734448753662,85.73560032977542,1.4517441577611976,False,0,0.0,95.38694166308032,7,5,Morning
35,2009-06-29 07:05:05+00:00,POINT (116.59149 40.074121),2,0,POINT (116.59149 40.074121),POINT (116.591372 40.074108),2009-06-29 07:05:00+00:00,10.168547306821331,5.0,2.0337094613642663,2.2717344026947326,-0.04760498826609325,81.80724529552174,87.18734448753662,5.380099192014882,False,0,0.0,104.77356976943153,7,5,Morning
36,2009-06-29 07:05:10+00:00,POINT (116.591789 40.074157),2,0,POINT (116.591789 40.074157),POINT (116.59149 40.074121),2009-06-29 07:05:05+00:00,25.816466852513365,5.0,5.163293370502673,2.0337094613642663,0.6259167818276814,81.05808080796288,81.80724529552174,0.7491644875588577,False,0,0.0,130.0092348838904,7,5,Morning
37,2009-06-29 07:05:15+00:00,POINT (116.592173 40.074131),2,0,POINT (116.592173 40.074131),POINT (116.591789 40.074157),2009-06-29 07:05:10+00:00,32.88272208399836,5.0,6.576544416799672,5.163293370502673,0.28265020925939977,95.05641596762734,81.05808080796288,13.998335159664464,False,0,0.0,159.20302810712533,7,5,Morning
38,2009-06-29 07:05:20+00:00,POINT (116.592448 40.074038),2,0,POINT (116.592448 40.074038),POINT (116.592173 40.074131),2009-06-29 07:05:15+00:00,25.63020162899803,5.0,5.126040325799606,6.576544416799672,-0.2901008182000133,113.84269797586683,95.05641596762734,18.786282008239482,False,0,0.0,183.81944725036175,7,5,Morning
39,2009-06-29 07:05:25+00:00,POINT (116.592604 40.074115),2,0,POINT (116.592604 40.074115),POINT (116.592448 40.074038),2009-06-29 07:05:20+00:00,15.816948898602357,5.0,3.1633897797204713,5.126040325799606,-0.3925301092158269,57.176478779967,113.84269797586683,56.66621919589983,False,0,0.0,199.6363961489641,7,5,Morning
40,2009-06-29 07:05:30+00:00,POINT (116.592598 40.074178),2,0,POINT (116.592598 40.074178),POINT (116.592604 40.074115),2009-06-29 07:05:25+00:00,7.013969868473633,5.0,1.4027939736947266,3.1633897797204713,-0.35211916120514897,355.83180729143527,57.176478779967,298.65532851146827,False,0,0.0,206.51034680980027,7,5,Morning
41,2009-06-29 07:05:33+00:00,POINT (116.592598 40.074178),2,0,POINT (116.592598 40.074178),POINT (116.592598 40.074178),2009-06-29 07:05:30+00:00,0.0,3.0,0.0,1.4027939736947266,-0.4675979912315755,0.0,355.83180729143527,355.83180729143527,True,9,82.0,206.51034680980027,7,5,Morning
42,2009-06-29 07:05:35+00:00,POINT (116.592599 40.074182),2,0,POINT (116.592599 40.074182),POINT (116.592598 40.074178),2009-06-29 07:05:33+00:00,0.45226145814833535,2.0,0.22613072907416767,0.0,0.11306536453708384,10.829999153778829,0.0,10.829999153778829,True,9,82.0,206.9626082679486,7,5,Morning
43,2009-06-29 07:05:40+00:00,POINT (116.592608 40.074192),2,0,POINT (116.592608 40.074192),POINT (116.592599 40.074182),2009-06-29 07:05:35+00:00,1.349919585669235,5.0,0.269983917133847,0.22613072907416767,0.008770637611935866,34.554807178684996,10.829999153778829,23.724808024906167,True,9,82.0,203.83191359828206,7,5,Morning
44,2009-06-29 07:05:43+00:00,POINT (116.592608 40.074192),2,0,POINT (116.592608 40.074192),POINT (116.592608 40.074192),2009-06-29 07:05:40+00:00,0.0,3.0,0.0,0.269983917133847,-0.08999463904461567,0.0,34.554807178684996,34.554807178684996,True,9,82.0,203.83191359828206,7,5,Morning
45,2009-06-29 07:05:45+00:00,POINT (116.592616 40.074186),2,0,POINT (116.592616 40.074186),POINT (116.592608 40.074192),2009-06-29 07:05:43+00:00,0.9536922710942584,2.0,0.4768461355471292,0.0,0.2384230677735646,134.4248136403741,0.0,134.4248136403741,True,9,82.0,188.72848519561342,7,5,Morning
46,2009-06-29 07:05:50+00:00,POINT (116.592605 40.074195),2,0,POINT (116.592605 40.074195),POINT (116.592616 40.074186),2009-06-29 07:05:45+00:00,1.3707970841959718,5.0,0.27415941683919437,0.4768461355471292,-0.04053734374158696,316.91604406291043,134.4248136403741,182.49123042253632,True,9,82.0,161.2978309600342,7,5,Morning
47,2009-06-29 07:05:55+00:00,POINT (116.59259 40.074191),2,0,POINT (116.59259 40.074191),POINT (116.592605 40.074195),2009-06-29 07:05:50+00:00,1.3544138035791131,5.0,0.2708827607158226,0.27415941683919437,-0.0006553312246743492,250.78719469755362,316.91604406291043,66.12884936535681,True,9,82.0,134.16861285556766,7,5,Morning
48,2009-06-29 07:05:58+00:00,POINT (116.59259 40.074191),2,0,POINT (116.59259 40.074191),POINT (116.59259 40.074191),2009-06-29 07:05:55+00:00,0.0,3.0,0.0,0.2708827607158226,-0.09029425357194087,0.0,250.78719469755362,250.78719469755362,True,9,82.0,134.16861285556766,7,5,Morning
49,2009-06-29 07:06:00+00:00,POINT (116.592596 40.074191),2,0,POINT (116.592596 40.074191),POINT (116.59259 40.074191),2009-06-29 07:05:58+00:00,0.5118082049881573,2.0,0.25590410249407863,0.0,0.12795205124703932,89.99999809482881,0.0,89.99999809482881,True,9,82.0,123.32174904708215,7,6,Morning
50,2009-06-29 07:06:05+00:00,POINT (116.592576 40.074202),2,0,POINT (116.592576 40.074202),POINT (116.592596 40.074191),2009-06-29 07:06:00+00:00,2.0981750688300007,5.0,0.41963501376600015,0.25590410249407863,0.032746182254384304,305.70691015030775,89.99999809482881,215.70691205547894,True,9,82.0,115.25137680909083,7,6,Morning
51,2009-06-29 07:06:10+00:00,POINT (116.592589 40.074187),2,0,POINT (116.592589 40.074187),POINT (116.592576 40.074202),2009-06-29 07:06:05+00:00,2.000931017706136,5.0,0.40018620354122725,0.41963501376600015,-0.003889762044954581,146.44832519257875,305.70691015030775,159.258584957729,True,9,82.0,91.4358409742836,7,6,Morning
52,2009-06-29 07:06:15+00:00,POINT (116.592585 40.074195),2,0,POINT (116.592585 40.074195),POINT (116.592589 40.074187),2009-06-29 07:06:10+00:00,0.9515658563517413,5.0,0.19031317127034825,0.40018620354122725,-0.0419746064541758,339.06286390919337,146.44832519257875,192.61453871661462,True,9,82.0,59.50468474663697,7,6,Morning
53,2009-06-29 07:06:20+00:00,POINT (116.592584 40.074198),2,0,POINT (116.592584 40.074198),POINT (116.592585 40.074195),2009-06-29 07:06:15+00:00,0.34385662558560404,5.0,0.06877132511712081,0.19031317127034825,-0.02430836923064549,345.6906577247491,339.06286390919337,6.6277938155557194,True,9,82.0,34.21833974322454,7,6,Morning
54,2009-06-29 07:06:25+00:00,POINT (116.592585 40.074198),2,0,POINT (116.592585 40.074198),POINT (116.592584 40.074198),2009-06-29 07:06:20+00:00,0.08530135856273413,5.0,0.017060271712546825,0.06877132511712081,-0.010342210680914796,89.99999976185359,345.6906577247491,255.6906579628955,True,9,82.0,18.486692203184923,7,6,Morning
55,2009-06-29 07:06:30+00:00,POINT (116.592584 40.074198),2,0,POINT (116.592584 40.074198),POINT (116.592585 40.074198),2009-06-29 07:06:25+00:00,0.08530135856273413,5.0,0.017060271712546825,0.017060271712546825,0.0,270.0000002381464,89.99999976185359,180.00000047629283,True,9,82.0,11.558023693274022,7,6,Morning
56,2009-06-29 07:06:35+00:00,POINT (116.592584 40.074198),2,0,POINT (116.592584 40.074198),POINT (116.592584 40.074198),2009-06-29 07:06:30+00:00,0.0,5.0,0.0,0.017060271712546825,-0.003412054342509365,0.0,270.0000002381464,270.0000002381464,True,9,82.0,11.105762235125685,7,6,Morning
57,2009-06-29 07:06:40+00:00,POINT (116.592584 40.074198),2,0,POINT (116.592584 40.074198),POINT (116.592584 40.074198),2009-06-29 07:06:35+00:00,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,True,9,82.0,9.75584264945645,7,6,Morning
58,2009-06-29 07:06:45+00:00,POINT (116.592584 40.074198),2,0,POINT (116.592584 40.074198),POINT (116.592584 40.074198),2009-06-29 07:06:40+00:00,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,True,9,82.0,8.802150378362192,7,6,Morning
59,2009-06-29 07:06:50+00:00,POINT (116.592583 40.074198),2,0,POINT (116.592583 40.074198),POINT (116.592584 40.074198),2009-06-29 07:06:45+00:00,0.08530135856273413,5.0,0.017060271712546825,0.0,0.003412054342509365,270.0000002381464,0.0,270.0000002381464,True,9,82.0,7.516654652728954,7,6,Morning
60,2009-06-29 07:06:53+00:00,POINT (116.592583 40.074198),2,0,POINT (116.592583 40.074198),POINT (116.592583 40.074198),2009-06-29 07:06:50+00:00,0.0,3.0,0.0,0.017060271712546825,-0.0056867572375156085,0.0,270.0000002381464,270.0000002381464,True,9,82.0,7.516654652728954,7,6,Morning
61,2009-06-29 07:06:55+00:00,POINT (116.592583 40.074197),2,0,POINT (116.592583 40.074197),POINT (116.592583 40.074198),2009-06-29 07:06:53+00:00,0.11103605928054208,2.0,0.05551802964027104,0.0,0.02775901482013552,180.0,0.0,180.0,True,9,82.0,6.273276908430384,7,6,Morning
62,2009-06-29 07:07:00+00:00,POINT (116.592541 40.0743),2,0,POINT (116.592541 40.0743),POINT (116.592583 40.074197),2009-06-29 07:06:55+00:00,11.984733764721307,5.0,2.3969467529442614,0.05551802964027104,0.4682857446607981,342.67064467917396,180.0,162.67064467917396,False,0,0.0,17.746202468163535,7,7,Morning
63,2009-06-29 07:07:05+00:00,POINT (116.592493 40.074551),2,0,POINT (116.592493 40.074551),POINT (116.592541 40.0743),2009-06-29 07:07:00+00:00,28.169208799535316,5.0,5.633841759907063,2.3969467529442614,0.6473790013925603,351.6747412970995,342.67064467917396,9.00409661792554,False,0,0.0,43.81723619886885,7,7,Morning
64,2009-06-29 07:07:10+00:00,POINT (116.592464 40.074882),2,0,POINT (116.592464 40.074882),POINT (116.592493 40.074551),2009-06-29 07:07:05+00:00,36.8360937327354,5.0,7.3672187465470795,5.633841759907063,0.34667539732800334,356.16451493620957,351.6747412970995,4.489773639110069,False,0,0.0,78.65239891389811,7,7,Morning
65,2009-06-29 07:07:15+00:00,POINT (116.592436 40.075256),2,0,POINT (116.592436 40.075256),POINT (116.592464 40.074882),2009-06-29 07:07:10+00:00,41.59611885663701,5.0,8.319223771327403,7.3672187465470795,0.19040100495606466,356.721242394261,356.16451493620957,0.556727458051455,False,0,0.0,119.29695191418338,7,7,Morning
66,2009-06-29 07:07:20+00:00,POINT (116.592394 40.075638),2,0,POINT (116.592394 40.075638),POINT (116.592436 40.075256),2009-06-29 07:07:15+00:00,42.56681411563709,5.0,8.513362823127418,8.319223771327403,0.038827810360002955,355.1909503034233,356.721242394261,1.5302920908377473,False,0,0.0,161.51990940423485,7,7,Morning
67,2009-06-29 07:07:25+00:00,POINT (116.592349 40.076016),2,0,POINT (116.592349 40.076016),POINT (116.592394 40.075638),2009-06-29 07:07:20+00:00,42.14679806757626,5.0,8.429359613515253,8.513362823127418,-0.016800641922433003,354.7950544901594,355.1909503034233,0.39589581326390544,False,0,0.0,203.5814061132484,7,7,Morning
68,2009-06-29 07:07:30+00:00,POINT (116.592276 40.07639),2,0,POINT (116.592276 40.07639),POINT (116.592349 40.076016),2009-06-29 07:07:25+00:00,41.99174365204467,5.0,8.398348730408934,8.429359613515253,-0.006202176621263789,351.5054013295983,354.7950544901594,3.289653160561045,False,0,0.0,245.48784840673034,7,7,Morning
69,2009-06-29 07:07:35+00:00,POINT (116.592178 40.076753),2,0,POINT (116.592178 40.076753),POINT (116.592276 40.07639),2009-06-29 07:07:30+00:00,41.163808331664086,5.0,8.232761666332816,8.398348730408934,-0.03311741281522344,348.32812222343597,351.5054013295983,3.1772791061623593,False,0,0.0,286.6516567383944,7,7,Morning
70,2009-06-29 07:07:40+00:00,POINT (116.591957 40.077053),2,0,POINT (116.591957 40.077053),POINT (116.592178 40.076753),2009-06-29 07:07:35+00:00,38.274878503350514,5.0,7.654975700670103,8.232761666332816,-0.11555719313254276,330.59083972899737,348.32812222343597,17.737282494438602,False,0,0.0,324.92653524174494,7,7,Morning
71,2009-06-29 07:07:45+00:00,POINT (116.591573 40.077249),2,0,POINT (116.591573 40.077249),POINT (116.591957 40.077053),2009-06-29 07:07:40+00:00,39.32526184817398,5.0,7.865052369634796,7.654975700670103,0.04201533379293867,303.7056292102872,330.59083972899737,26.885210518710153,False,0,0.0,364.2517970899189,7,7,Morning
72,2009-06-29 07:07:50+00:00,POINT (116.591097 40.077314),2,0,POINT (116.591097 40.077314),POINT (116.591573 40.077249),2009-06-29 07:07:45+00:00,41.23810486071464,5.0,8.24762097214293,7.865052369634796,0.07651372050162664,280.1187233113633,303.7056292102872,23.58690589892393,False,0,0.0,405.40460059207084,7,7,Morning
73,2009-06-29 07:07:55+00:00,POINT (116.590599 40.077221),2,0,POINT (116.590599 40.077221),POINT (116.591097 40.077314),2009-06-29 07:07:50+00:00,43.715312804837914,5.0,8.743062560967584,8.24762097214293,0.09908831776493088,256.28482637645743,280.1187233113633,23.83389693490585,False,0,0.0,449.0088773376282,7,7,Morning
74,2009-06-29 07:08:00+00:00,POINT (116.590097 40.077144),2,0,POINT (116.590097 40.077144),POINT (116.590599 40.077221),2009-06-29 07:07:55+00:00,43.66464097742156,5.0,8.732928195484313,8.743062560967584,-0.0020268730966542135,258.6649681093921,256.28482637645743,2.3801417329346464,False,0,0.0,480.6887845503284,7,8,Morning
75,2009-06-29 07:08:05+00:00,POINT (116.589675 40.077105),2,0,POINT (116.589675 40.077105),POINT (116.590097 40.077144),2009-06-29 07:08:00+00:00,36.255178976798,5.0,7.2510357953596,8.732928195484313,-0.29637848002494244,263.1133986697667,258.6649681093921,4.448430560374618,False,0,0.0,488.77475472759113,7,8,Morning
76,2009-06-29 07:08:10+00:00,POINT (116.589421 40.077166),2,0,POINT (116.589421 40.077166),POINT (116.589675 40.077105),2009-06-29 07:08:05+00:00,22.699672226700613,5.0,4.539934445340123,7.2510357953596,-0.5422202700038955,287.4249726244474,263.1133986697667,24.311573954680682,False,0,0.0,474.6383332215563,7,8,Morning
77,2009-06-29 07:08:15+00:00,POINT (116.589408 40.077356),2,0,POINT (116.589408 40.077356),POINT (116.589421 40.077166),2009-06-29 07:08:10+00:00,21.12598375753754,5.0,4.225196751507508,4.539934445340123,-0.0629475387665229,357.0030648500174,287.4249726244474,69.57809222557,False,0,0.0,454.1681981224569,7,8,Morning
78,2009-06-29 07:08:20+00:00,POINT (116.589378 40.07763),2,0,POINT (116.589378 40.07763),POINT (116.589408 40.077356),2009-06-29 07:08:15+00:00,30.53132154986672,5.0,6.106264309973344,4.225196751507508,0.3762135116931672,355.2110548287735,357.0030648500174,1.7920100212438683,False,0,0.0,442.1327055566865,7,8,Morning
79,2009-06-29 07:08:25+00:00,POINT (116.589395 40.077941),2,0,POINT (116.589395 40.077941),POINT (116.589378 40.07763),2009-06-29 07:08:20+00:00,34.56266687296856,5.0,6.912533374593712,6.106264309973344,0.16125381292407362,2.3950559159122236,355.2110548287735,352.8159989128613,False,0,0.0,434.5485743620788,7,8,Morning
80,2009-06-29 07:08:30+00:00,POINT (116.5894 40.078235),2,0,POINT (116.5894 40.078235),POINT (116.589395 40.077941),2009-06-29 07:08:25+00:00,32.6474090260216,5.0,6.52948180520432,6.912533374593712,-0.0766103138778785,0.7455494839624635,2.3950559159122236,1.64950643194976,False,0,0.0,425.20423973605574,7,8,Morning
81,2009-06-29 07:08:35+00:00,POINT (116.589394 40.078551),2,0,POINT (116.589394 40.078551),POINT (116.5894 40.078235),2009-06-29 07:08:30+00:00,35.09115219516746,5.0,7.018230439033492,6.52948180520432,0.09774972676583449,359.16764247182425,0.7455494839624635,358.4220929878618,False,0,0.0,419.1315835995591,7,8,Morning
82,2009-06-29 07:08:40+00:00,POINT (116.589374 40.078893),2,0,POINT (116.589374 40.078893),POINT (116.589394 40.078551),2009-06-29 07:08:35+00:00,38.0126597602764,5.0,7.60253195205528,7.018230439033492,0.11686030260435754,357.43794526160895,359.16764247182425,1.7296972102153063,False,0,0.0,418.869364856485,7,8,Morning
